"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id"
417.866828913485,2.81945813173798,0.0910931869463728,30.951361196725,2.43571436388055e-210,3.00810723939247e-207,"ENSG00000152253.9"
83.4729759943961,-4.21312978975358,0.136326751894817,-30.9046444017403,1.03460480175868e-209,1.24411227411481e-206,"ENSG00000135437.10"
873.99809900354,3.53422980245052,0.114652713659569,30.8255224812601,1.19255400352084e-208,1.39727577412525e-205,"ENSG00000123485.12"
36645.7688025859,-2.56766038546402,0.0834857401673138,-30.7556761228705,1.02673826187839e-207,1.17292012191333e-204,"ENSG00000148180.21"
62.3104912726865,-3.89261912865222,0.126954763157136,-30.6614657997054,1.85879375108817e-206,2.07164830380425e-203,"ENSG00000145708.11"
1303.16060461607,-2.25597701923079,0.0739371993857934,-30.5120702159603,1.8024729369424e-204,1.96104763937102e-201,"ENSG00000165410.15"
3706.86425901125,-3.66196568639498,0.120194357346736,-30.4670349526557,7.12591768620682e-204,7.57253043421444e-201,"ENSG00000076555.15"
372.384476354178,3.25507959985537,0.106851511944918,30.4635801647183,7.91771655628578e-204,8.22272859180633e-201,"ENSG00000166803.14"
1686.58156763843,6.20446097667845,0.203758182918503,30.4501192924361,1.19355296002789e-203,1.21198672241055e-200,"ENSG00000137745.12"
21358.7811717325,-2.04826267092772,0.0673725878473106,-30.4020186306304,5.16562498369545e-203,5.13137464412964e-200,"ENSG00000115306.16"
282.398404368139,-3.86416084525445,0.127238485449069,-30.369434464867,1.39180935831007e-202,1.35316443889316e-199,"ENSG00000124743.6"
2618.76942065336,3.16302260538888,0.104958813915943,30.1358455510179,1.64416913062054e-199,1.5652147588272e-196,"ENSG00000170312.16"
623.876916273887,3.35650777378093,0.111519016621349,30.0980754267013,5.13463045701784e-199,4.78830487211082e-196,"ENSG00000169607.13"
179.059011583833,-3.78090495358327,0.125967541052935,-30.0149143341174,6.26961200632597e-198,5.7297984125813e-195,"ENSG00000183549.10"
48.5993780243719,-3.61040055169395,0.120307930929914,-30.0096637336171,7.34097431009429e-198,6.57736904117174e-195,"ENSG00000279204.1"
751.671306760043,3.52448171107546,0.117803811979058,29.9182314380626,1.13998893033115e-196,1.0017652725285e-193,"ENSG00000135451.13"
1716.35945062987,3.05048316219131,0.102179737199852,29.8540908969546,7.76847971852738e-196,6.69774869317186e-193,"ENSG00000143476.18"
109.311705258001,-3.3724713516012,0.113051350635793,-29.831322957529,1.53373749398985e-195,1.29785434792345e-192,"ENSG00000068976.14"
272.587942382963,-2.82585744507983,0.095044816783715,-29.7318416795982,2.97774175606813e-194,2.47396199170061e-191,"ENSG00000165028.12"
6318.14745682321,-2.03167438563487,0.0684717488855005,-29.6717174411927,1.77961437361085e-193,1.45213355003836e-190,"ENSG00000121691.7"
1352.95341474547,3.43886127983403,0.116123715446799,29.6137724030153,9.93433599843012e-193,7.96402602540814e-190,"ENSG00000138180.16"
4440.13265972631,3.409324198558,0.115189676110476,29.5974805527554,1.61009217161648e-192,1.26850278934509e-189,"ENSG00000122641.11"
1688.52710747106,3.38646346795837,0.114517351620812,29.5716187986216,3.46347338740305e-192,2.68243078707427e-189,"ENSG00000112984.12"
826.871209392138,3.46567550267755,0.117312642079949,29.5422167741793,8.26721480250884e-192,6.29617300667736e-189,"ENSG00000168078.10"
6542.64615426089,3.27332108861277,0.110970119114927,29.497319771485,3.11609038504802e-191,2.33425819909458e-188,"ENSG00000117724.13"
2992.78359992386,-4.01012594383158,0.136164850251048,-29.4505221901105,1.23972103799719e-190,9.13694400504546e-188,"ENSG00000123243.15"
1371.2128008454,3.39327019415646,0.115318910278926,29.425097635323,2.62266580715887e-190,1.90226530250992e-187,"ENSG00000166851.15"
324.22545185642,4.96992803050186,0.168926122709936,29.4207192515497,2.98370117791428e-190,2.13031602069989e-187,"ENSG00000155886.11"
1547.01487260016,3.30281430124479,0.112369552824548,29.3924307628219,6.86195144029724e-190,4.82395186252896e-187,"ENSG00000169679.15"
1187.83553679458,3.64359970870387,0.124285959781891,29.3162615881795,6.43590151081454e-189,4.45588665964652e-186,"ENSG00000165304.8"
1760.27340213362,-2.83397707693919,0.0969000916709619,-29.2463817945846,4.99211921924175e-188,3.40469981676495e-185,"ENSG00000108960.9"
296.667996754061,-3.59357193524936,0.122888377363481,-29.2425696583188,5.58159451152463e-188,3.75074942947232e-185,"ENSG00000280339.1"
1854.31643071544,3.5528031409513,0.121838875786495,29.1598483490367,6.26687508749583e-187,4.15021532062496e-184,"ENSG00000104415.14"
789.582675276352,-3.12820452639027,0.107365011654953,-29.1361634313758,1.25091031508185e-186,8.16576383538077e-184,"ENSG00000186642.16"
3262.44954283095,-4.5283754335679,0.155515461639069,-29.1184901220798,2.09437071147619e-186,1.34791929099865e-183,"ENSG00000079435.10"
644.692367601475,3.16627272691423,0.108933514158067,29.0661028553604,9.63223729238467e-186,6.11312615382664e-183,"ENSG00000161888.11"
775.22282235227,3.0385973398881,0.104723334153814,29.015475533133,4.19765917924969e-185,2.62756213966869e-182,"ENSG00000072571.20"
2006.76452140288,3.17371609834202,0.109460679171041,28.9941202848087,7.80423253831858e-185,4.81911359241172e-182,"ENSG00000237649.8"
765.52771293479,2.87942758699593,0.0993266629734702,28.9894727236031,8.93134764182627e-185,5.44157240657669e-182,"ENSG00000075702.18"
687.208641825665,3.56485286237106,0.123006511570055,28.9810093536455,1.14177756827233e-184,6.8649376292374e-182,"ENSG00000186185.14"
26.8962964527433,-2.70930174151529,0.0937471316150663,-28.9001028067708,1.19037770927335e-183,7.06419602925267e-181,"ENSG00000258311.5"
110.260264883013,-2.8963071957501,0.100232620282271,-28.8958543395717,1.34607027439533e-183,7.88572835749931e-181,"ENSG00000077616.11"
3213.21164500136,3.41639871134264,0.118341851944722,28.86889680363,2.93503168484609e-183,1.69767433973471e-180,"ENSG00000171848.16"
1022.96195772198,3.31505047886698,0.114997887918893,28.8270553386604,9.82771815767062e-183,5.61346976518449e-180,"ENSG00000126787.13"
3651.00472203553,-2.03635156473142,0.070760650195961,-28.7780222354098,4.04142701430227e-182,2.27991367183385e-179,"ENSG00000122729.19"
33.7567237695321,-3.79515960914788,0.131892542957611,-28.7746336831766,4.45588374830481e-182,2.48306838876571e-179,"ENSG00000185271.9"
8233.94974731421,-4.71829051887128,0.164211945867282,-28.7329310541431,1.48022705008317e-181,8.1492741028374e-179,"ENSG00000175445.17"
1869.08176970095,3.54945462533045,0.124164681773536,28.5866687260093,9.84093283872333e-180,5.35335031030312e-177,"ENSG00000066279.18"
1165.61767984115,-3.04373138195141,0.106477518421551,-28.5856716710948,1.01258066891102e-179,5.44351454892814e-177,"ENSG00000164330.17"
57.2120936691246,-5.00312115262782,0.175182968916233,-28.559403825495,2.14675693327184e-179,1.14065183797508e-176,"ENSG00000170509.12"
1348.5876820684,-3.000020922796,0.105047071190574,-28.5588249990658,2.1825835476404e-179,1.1463581058555e-176,"ENSG00000176438.12"
2943.49317111483,2.5808925316535,0.0903837621262929,28.5548252356129,2.44701657008637e-179,1.27064116102383e-176,"ENSG00000134057.15"
1370.68004258349,3.22383814823403,0.112927195748792,28.5479341522434,2.97981215274704e-179,1.52991591370535e-176,"ENSG00000164611.13"
1737.54364537472,-3.66529730520203,0.128456107014256,-28.5334608871126,4.50615039007616e-179,2.26273123158824e-176,"ENSG00000135424.18"
1424.33290042687,-2.42757344610427,0.0850774350604752,-28.5336933862509,4.47631899821933e-179,2.26273123158824e-176,"ENSG00000138640.15"
820.889331909723,3.44929412772716,0.12108850862506,28.4857264070168,1.76018512902738e-178,8.74257168162023e-176,"ENSG00000174371.17"
200.525705365097,3.41537089736116,0.119939524199099,28.4757749388071,2.33775911984695e-178,1.14864411807964e-175,"ENSG00000109674.4"
582.713440132208,2.91592860461383,0.102516445717655,28.4435202976575,5.86075899053847e-178,2.84901470290059e-175,"ENSG00000100526.20"
394.592383357019,-4.22309199463147,0.14890698968197,-28.3606028410821,6.1943213112953e-177,2.97946855073304e-174,"ENSG00000286214.1"
1898.26966492527,2.66484756433196,0.0939848480309268,28.3540125899343,7.46889124586538e-177,3.55511443208144e-174,"ENSG00000123975.5"
1464.91560553308,3.11990551652143,0.110237031608491,28.3017917935402,3.28480061637055e-176,1.54741200170157e-173,"ENSG00000087586.18"
715.804511370255,6.92330856770167,0.244710626800988,28.2918182107885,4.35741098196637e-176,2.03175402878524e-173,"ENSG00000170373.8"
1441.63160834767,3.3303956589713,0.117939699424082,28.23812232212,1.99152500636719e-175,9.19219547130794e-173,"ENSG00000142945.13"
23.1069892136909,-3.67718521443881,0.130529046135218,-28.1713942092976,1.31091558752621e-174,5.990228777201e-172,"ENSG00000259347.7"
2376.96240846294,2.58507863059209,0.0917667326693797,28.1701064797164,1.3594058380497e-174,6.15030195739414e-172,"ENSG00000122952.17"
